"","CU25_1","CU25_2","CU25_4","CU25_5","CU25_6","CU25_7","CU25_8","CU25_10"
"Atp5pb",14.0583482632563,14.0392126726501,14.0533011433654,13.8861872768492,13.6454027109557,13.7636853073482,13.8293779422658,13.6360186598549
"Sox9",8.28252733380864,7.72535733949272,7.9851489377059,7.67164191390422,7.64301399029274,7.33828865584349,7.78777747703176,7.36923441947853
"Hnrnpd",10.1014802196649,10.3818729473168,10.6142701796881,10.7918510393869,10.9783118596126,10.9579417703726,11.2320180556696,11.0811940613154
"Dynlt1c",7.21095291519982,7.48030358668307,7.68372515017832,7.63504177698094,7.52889467543003,7.43906850450183,7.3734453030793,7.59752168246314
"C1d",8.70689888676513,8.93438880980153,9.40794289972814,9.76781911637865,9.41484234041057,9.46656676809826,9.68466628318896,9.48258159822111
"Gm2a",10.3728152812485,10.5690161229318,9.93977894440016,9.96843797551288,9.77192303015367,9.93311147932879,9.19481419090265,9.833955299706
"Krit1",9.14000257129608,9.292366404426,9.66178304612242,9.81959005256025,9.64782896413351,9.6008555282491,9.58113640703224,9.7449102838896
"Clcn4",11.1959495505414,11.3186379487784,11.4267154559417,11.3269262239877,10.7733028449209,11.0106028850914,11.1657481236907,10.9980418001644
"Sema4f",6.54278680302494,6.70093075188531,6.38970685675043,6.45990354605985,6.08903019021879,6.27115267979593,6.26788278946765,6.08903019021879
"Hk2",13.7830417946796,13.3426146834418,13.5639056933805,12.9802513527471,13.1372440707691,13.3271399425541,14.0852060630887,13.919193055069
"Myo18a",13.9122403734592,13.9645199111164,13.6974193842795,13.274014978635,15.2651971601628,15.8094620441825,15.5424437087636,15.1518848246284
"Sez6",6.66599317448517,6.74914991516869,6.51348865616069,6.32397778693793,6.58668327723038,6.34641984239714,6.08903019021879,6.26111890898373
"Haao",6.78444982333281,6.77190267361763,6.08903019021879,6.61210005483451,6.08903019021879,6.45255461014013,6.39841719952678,7.14090698888842
"Cd52",7.48386868986065,7.14765364462608,7.20165608714543,7.22376979119635,6.58668327723038,6.9317937281829,6.79775095662891,7.46643943099215
"Abhd15",7.08778413246272,7.11983321704544,6.91187525736935,6.76847485184988,7.96918872994407,7.08388950752213,6.87947181671402,7.17885580582061
"Hoxb6",6.92949874301225,6.67524044010438,6.68717907155138,6.89335488128633,6.6447439704945,6.71540856035859,6.75279407467022,6.68134761003087
"Loxl3",8.82507456922304,8.29493358579508,8.24249950460845,8.80694673362249,7.15463643949818,6.95019695257512,7.25738791236339,7.5207656385604
"Kat2b",11.4627090003596,11.8129129800901,12.0223895061265,11.9489888038313,12.6808969075466,12.8945276063851,12.434764462899,13.0506966862543
"Rab5b",12.6892107662376,12.9127017861799,12.6442991386434,12.4417767127092,12.7199103344297,12.9559775601246,12.7958750160157,12.6169085570899
